Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1546.562127
FDW14,OUT017,1300.723893
NCN55,OUT010,676.9977889
FDQ58,OUT017,2539.882797
FDY38,OUT027,5906.263935
FDH56,OUT046,1857.610633
FDL48,OUT018,591.720021
FDC48,OUT027,2387.637258
FDN33,OUT045,1467.262467
FDA36,OUT017,3128.013273
FDT44,OUT017,1908.099439
FDQ56,OUT045,1347.439408
NCC54,OUT019,616.1867729
FDU11,OUT049,2052.858034
DRL59,OUT013,761.9528625
FDM24,OUT049,2494.795313
FDI57,OUT045,3186.808754
DRC12,OUT018,2793.350851
NCM42,OUT027,3061.681245
FDA46,OUT010,633.1103413
FDA31,OUT013,2852.692805
NCJ31,OUT035,3639.215798
FDG52,OUT046,765.6040899
NCL19,OUT019,431.6127577
FDS10,OUT035,2975.968476
FDX22,OUT010,654.5694729
NCF19,OUT035,812.3616042
NCE06,OUT046,2469.631211
DRC27,OUT046,3990.072132
FDE21,OUT035,2000.214189
NCR42,OUT019,29.4097716
FDX51,OUT018,2905.211938
NCR06,OUT018,557.6839258
FDU31,OUT027,5616.318536
FDU59,OUT017,2625.137252
FDR03,OUT027,5329.564924
FDS49,OUT027,2494.895875
FDD48,OUT010,390.72159
NCF18,OUT017,3168.251818
NCD43,OUT027,2907.249415
NCD54,OUT018,1929.718719
FDY19,OUT010,348.1025382
NCY54,OUT017,2838.873153
NCL19,OUT018,2133.462999
FDP23,OUT010,606.5424936
FDC26,OUT013,1851.605829
FDR14,OUT010,180.5166871
NCS41,OUT035,3067.326747
FDF41,OUT035,4187.907029
FDU34,OUT046,1905.850136
DRH11,OUT046,958.2317934
FDM03,OUT013,1775.763353
FDS31,OUT017,3078.967272
FDJ20,OUT017,2004.064723
FDV44,OUT027,5064.516712
FDG02,OUT049,3223.19251
FDA09,OUT013,3099.272605
FDT04,OUT013,571.4117529
FDL58,OUT019,670.4414528
FDE52,OUT045,1364.364759
FDW12,OUT035,2472.210333
FDL51,OUT017,3647.266327
NCY42,OUT027,3610.762528
FDR07,OUT017,1498.022268
FDN40,OUT045,2285.02997
FDB35,OUT027,2727.932871
FDA22,OUT017,2761.318546
NCL06,OUT046,4419.753812
FDI35,OUT013,3116.712503
NCW42,OUT045,3515.222339
NCX06,OUT049,3035.276871
FDC37,OUT027,2944.903391
FDZ14,OUT018,1723.163807
DRG49,OUT049,4371.959604
NCG06,OUT045,4273.098351
DRC36,OUT045,2803.932223
FDV21,OUT019,351.6901256
FDB53,OUT046,2372.232848
DRP47,OUT019,637.8317986
FDA14,OUT013,2368.341039
DRC24,OUT035,2508.185395
FDW21,OUT018,1452.586146
NCH29,OUT046,1698.067443
FDU58,OUT013,3123.504471
FDY27,OUT017,2925.864111
FDV56,OUT035,1726.995067
FDT59,OUT046,3828.536931
FDB23,OUT046,3791.848205
FDR49,OUT045,707.0504406
FDB03,OUT010,655.6435098
FDN39,OUT045,2684.672483
FDX02,OUT027,5584.945242
FDQ16,OUT027,2932.109775
FDU35,OUT018,1465.288193
NCT29,OUT013,2007.713458
FDZ27,OUT046,759.4012494
FDN57,OUT017,2150.955381
FDA03,OUT018,2158.230805
FDZ36,OUT045,3137.311653
NCU05,OUT013,1207.04117
FDT39,OUT018,2080.106078
FDK60,OUT017,1604.853338
FDZ25,OUT017,2887.239715
FDG12,OUT046,2031.409581
DRB01,OUT019,551.5942143
NCC43,OUT027,6085.958584
FDX13,OUT019,755.9630205
FDM22,OUT049,873.587763
FDJ03,OUT027,1505.027528
FDU14,OUT018,3646.541537
FDB33,OUT010,523.5379842
FDP27,OUT046,3153.214917
FDO38,OUT010,254.1325981
FDE28,OUT027,5827.809953
FDO27,OUT035,1538.899681
DRL23,OUT027,2909.959716
FDS28,OUT046,859.5065735
FDX24,OUT013,1305.223138
FDZ02,OUT035,1535.426635
FDL46,OUT045,1772.111205
FDS60,OUT027,4621.633113
NCO06,OUT017,544.789983
FDO16,OUT035,1491.058994
FDC60,OUT049,1534.092275
FDA48,OUT018,3309.094549
FDZ36,OUT027,4952.062259
FDK27,OUT045,1913.162273
FDW23,OUT018,642.2394713
FDM14,OUT018,1442.296958
FDM14,OUT013,1646.879198
FDW60,OUT018,2600.250906
FDE21,OUT013,1908.966187
NCM42,OUT035,1755.454947
FDY59,OUT010,248.2828756
DRI49,OUT049,1251.965167
FDT28,OUT019,448.1579033
FDQ22,OUT018,533.3584339
FDR60,OUT049,1187.682222
FDC50,OUT019,295.312119
FDV24,OUT013,2446.246426
DRF48,OUT010,322.4023121
FDQ47,OUT046,663.7738488
DRN36,OUT049,1573.888193
NCY06,OUT035,2072.692177
FDE52,OUT035,1433.066797
NCB54,OUT045,1975.06656
NCF31,OUT035,2470.048341
FDJ08,OUT027,4973.993233
NCC07,OUT017,1675.508735
NCD19,OUT027,1781.76541
FDL46,OUT049,1844.025199
FDM20,OUT045,4146.234642
NCI06,OUT010,578.2337707
DRM11,OUT035,4293.22426
NCH07,OUT018,2236.576836
FDS23,OUT013,2093.877087
FDO49,OUT018,614.0068125
FDS35,OUT049,1035.990439
DRK39,OUT045,1196.969686
DRI39,OUT049,921.1848395
FDV04,OUT017,2589.354768
NCN14,OUT035,2995.032297
FDH08,OUT013,4000.000149
FDS20,OUT046,3097.373398
FDV40,OUT049,1165.261204
FDZ48,OUT010,270.472958
FDS24,OUT027,2500.195001
FDK44,OUT049,2868.430568
FDS48,OUT045,2401.621172
FDK26,OUT010,560.4748834
FDD23,OUT045,3186.281667
NCH54,OUT017,2652.48488
NCP14,OUT010,314.1312904
FDM60,OUT010,74.39432615
FDV24,OUT017,2419.453733
FDH08,OUT018,3446.771821
FDS12,OUT027,3473.656577
FDR39,OUT027,4799.109338
FDP12,OUT027,1291.685136
DRF60,OUT027,5842.789554
FDC09,OUT035,1690.363541
FDF50,OUT018,3054.477995
FDG28,OUT035,4199.85858
NCE19,OUT017,884.7523966
NCM53,OUT010,301.7522461
NCN18,OUT049,1770.820039
FDF32,OUT035,3306.200059
FDF11,OUT013,4204.290414
DRI59,OUT049,3872.250933
NCG54,OUT035,2807.081944
FDM44,OUT046,1571.873113
FDT57,OUT018,3512.982656
FDV24,OUT046,2375.328417
FDI50,OUT019,735.6734406
FDS09,OUT035,822.6467354
NCC31,OUT027,4143.534801
FDQ07,OUT019,603.4291436
FDC22,OUT017,3229.796111
